card_id,card_name,set_id,card_number,binder_name,page_number,slot_number,set_name,card_market_value,index
base4-1,Alakazam,base4,1,2,1,1,Base Set 2,37.01,2-1-1
base4-2,Blastoise,base4,2,2,1,2,Base Set 2,105.92,2-1-2
base4-3,Chansey,base4,3,2,1,3,Base Set 2,14.71,2-1-3
base4-4,Charizard,base4,4,2,1,4,Base Set 2,304.88,2-1-4
base4-5,Clefable,base4,5,2,1,5,Base Set 2,13.97,2-1-5
base4-6,Clefairy,base4,6,2,1,6,Base Set 2,10.79,2-1-6
base4-7,Gyarados,base4,7,2,1,7,Base Set 2,26.86,2-1-7
base4-8,Hitmonchan,base4,8,2,1,8,Base Set 2,21.21,2-1-8
base4-9,Magneton,base4,9,2,1,9,Base Set 2,12.13,2-1-9
base4-10,Mewtwo,base4,10,2,2,1,Base Set 2,40.96,2-2-1
base4-11,Nidoking,base4,11,2,2,2,Base Set 2,24.14,2-2-2
base4-12,Nidoqueen,base4,12,2,2,3,Base Set 2,23.02,2-2-3
base4-13,Ninetales,base4,13,2,2,4,Base Set 2,21.49,2-2-4
base4-14,Pidgeot,base4,14,2,2,5,Base Set 2,27.41,2-2-5
base4-15,Poliwrath,base4,15,2,2,6,Base Set 2,13.35,2-2-6
base4-16,Raichu,base4,16,2,2,7,Base Set 2,33.18,2-2-7
base4-17,Scyther,base4,17,2,2,8,Base Set 2,24.6,2-2-8
base4-18,Venusaur,base4,18,2,2,9,Base Set 2,73.77,2-2-9
base4-19,Wigglytuff,base4,19,2,3,1,Base Set 2,11.0,2-3-1
base4-20,Zapdos,base4,20,2,3,2,Base Set 2,24.31,2-3-2
base4-21,Beedrill,base4,21,2,3,3,Base Set 2,1.96,2-3-3
base4-22,Dragonair,base4,22,2,3,4,Base Set 2,8.65,2-3-4
base4-23,Dugtrio,base4,23,2,3,5,Base Set 2,3.3,2-3-5
base4-24,Electabuzz,base4,24,2,3,6,Base Set 2,3.19,2-3-6
base4-25,Electrode,base4,25,2,3,7,Base Set 2,3.87,2-3-7
base4-26,Kangaskhan,base4,26,2,3,8,Base Set 2,3.15,2-3-8
base4-27,Mr. Mime,base4,27,2,3,9,Base Set 2,6.03,2-3-9
base4-28,Pidgeotto,base4,28,2,4,1,Base Set 2,3.72,2-4-1
base4-29,Pinsir,base4,29,2,4,2,Base Set 2,3.35,2-4-2
base4-30,Snorlax,base4,30,2,4,3,Base Set 2,9.3,2-4-3
base4-31,Venomoth,base4,31,2,4,4,Base Set 2,3.31,2-4-4
base4-32,Victreebel,base4,32,2,4,5,Base Set 2,2.8,2-4-5
base4-33,Arcanine,base4,33,2,4,6,Base Set 2,2.1,2-4-6
base4-34,Butterfree,base4,34,2,4,7,Base Set 2,1.58,2-4-7
base4-35,Charmeleon,base4,35,2,4,8,Base Set 2,1.73,2-4-8
base4-36,Dewgong,base4,36,2,4,9,Base Set 2,1.23,2-4-9
base4-37,Dodrio,base4,37,2,5,1,Base Set 2,1.8,2-5-1
base4-38,Dratini,base4,38,2,5,2,Base Set 2,1.01,2-5-2
base4-39,Exeggutor,base4,39,2,5,3,Base Set 2,1.18,2-5-3
base4-40,Farfetch'd,base4,40,2,5,4,Base Set 2,0.5,2-5-4
base4-41,Fearow,base4,41,2,5,5,Base Set 2,1.32,2-5-5
base4-42,Growlithe,base4,42,2,5,6,Base Set 2,1.21,2-5-6
base4-43,Haunter,base4,43,2,5,7,Base Set 2,0.85,2-5-7
base4-44,Ivysaur,base4,44,2,5,8,Base Set 2,3.58,2-5-8
base4-45,Jynx,base4,45,2,5,9,Base Set 2,0.6,2-5-9
base4-46,Kadabra,base4,46,2,6,1,Base Set 2,1.22,2-6-1
base4-47,Kakuna,base4,47,2,6,2,Base Set 2,0.71,2-6-2
base4-48,Lickitung,base4,48,2,6,3,Base Set 2,1.3,2-6-3
base4-49,Machoke,base4,49,2,6,4,Base Set 2,0.54,2-6-4
